Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Diabetes,fatigue,excessive_thirst,frequent_urination,blurred_vision,slow_healing_wounds,weight_loss,numbness_in_feet,increased_hunger
Diabetes,excessive_thirst,frequent_urination,fatigue,blurred_vision,weight_loss,slow_healing_wounds,increased_hunger,numbness_in_feet
Diabetes,increased_hunger,fatigue,excessive_thirst,frequent_urination,slow_healing_wounds,blurred_vision,weight_loss,numbness_in_feet
Diabetes,weight_loss,fatigue,excessive_thirst,frequent_urination,blurred_vision,slow_healing_wounds,increased_hunger,numbness_in_feet
Diabetes,numbness_in_feet,excessive_thirst,frequent_urination,fatigue,blurred_vision,slow_healing_wounds,weight_loss,increased_hunger
Diabetes,fatigue,excessive_thirst,frequent_urination,blurred_vision,slow_healing_wounds,weight_loss,increased_hunger,numbness_in_feet
Diabetes,excessive_thirst,fatigue,frequent_urination,blurred_vision,weight_loss,slow_healing_wounds,numbness_in_feet,increased_hunger
Diabetes,blurred_vision,excessive_thirst,frequent_urination,fatigue,slow_healing_wounds,weight_loss,increased_hunger,numbness_in_feet
Diabetes,slow_healing_wounds,excessive_thirst,frequent_urination,fatigue,blurred_vision,weight_loss,increased_hunger,numbness_in_feet
Diabetes,frequent_urination,excessive_thirst,fatigue,blurred_vision,slow_healing_wounds,weight_loss,increased_hunger,numbness_in_feet
Hypertension,headache,dizziness,chest_pain,shortness_of_breath,blurred_vision,nausea,palpitations,fatigue
Hypertension,dizziness,headache,chest_pain,shortness_of_breath,nausea,blurred_vision,palpitations,fatigue
Hypertension,chest_pain,headache,dizziness,shortness_of_breath,blurred_vision,nausea,palpitations,fatigue
Hypertension,shortness_of_breath,headache,dizziness,chest_pain,blurred_vision,nausea,palpitations,fatigue
Hypertension,nausea,headache,dizziness,chest_pain,shortness_of_breath,blurred_vision,palpitations,fatigue
Hypertension,palpitations,headache,dizziness,chest_pain,shortness_of_breath,blurred_vision,nausea,fatigue
Hypertension,headache,chest_pain,dizziness,shortness_of_breath,blurred_vision,nausea,palpitations,fatigue
Hypertension,blurred_vision,headache,dizziness,chest_pain,shortness_of_breath,nausea,palpitations,fatigue
Hypertension,fatigue,headache,dizziness,chest_pain,shortness_of_breath,blurred_vision,nausea,palpitations
Hypertension,headache,dizziness,nausea,chest_pain,shortness_of_breath,blurred_vision,fatigue,palpitations
Malaria,fever,chills,headache,sweating,nausea,muscle_pain,vomiting,fatigue
Malaria,chills,fever,headache,sweating,nausea,muscle_pain,vomiting,fatigue
Malaria,headache,fever,chills,sweating,nausea,muscle_pain,vomiting,fatigue
Malaria,sweating,fever,chills,headache,nausea,muscle_pain,vomiting,fatigue
Malaria,nausea,fever,chills,headache,sweating,muscle_pain,vomiting,fatigue
Malaria,muscle_pain,fever,chills,headache,sweating,nausea,vomiting,fatigue
Malaria,vomiting,fever,chills,headache,sweating,nausea,muscle_pain,fatigue
Malaria,fatigue,fever,chills,headache,sweating,nausea,muscle_pain,vomiting
Malaria,fever,muscle_pain,chills,headache,sweating,nausea,vomiting,fatigue
Malaria,fever,vomiting,chills,headache,sweating,nausea,muscle_pain,fatigue
Typhoid,prolonged_fever,weakness,abdominal_pain,headache,loss_of_appetite,diarrhea,constipation,rash
Typhoid,weakness,prolonged_fever,abdominal_pain,headache,loss_of_appetite,diarrhea,constipation,rash
Typhoid,abdominal_pain,prolonged_fever,weakness,headache,loss_of_appetite,diarrhea,constipation,rash
Typhoid,headache,prolonged_fever,weakness,abdominal_pain,loss_of_appetite,diarrhea,constipation,rash
Typhoid,loss_of_appetite,prolonged_fever,weakness,abdominal_pain,headache,diarrhea,constipation,rash
Typhoid,diarrhea,prolonged_fever,weakness,abdominal_pain,headache,loss_of_appetite,constipation,rash
Typhoid,constipation,prolonged_fever,weakness,abdominal_pain,headache,loss_of_appetite,diarrhea,rash
Typhoid,rash,prolonged_fever,weakness,abdominal_pain,headache,loss_of_appetite,diarrhea,constipation
Typhoid,prolonged_fever,abdominal_pain,weakness,headache,loss_of_appetite,diarrhea,rash,constipation
Typhoid,prolonged_fever,diarrhea,weakness,abdominal_pain,headache,loss_of_appetite,rash,constipation
Influenza,fever,cough,sore_throat,body_ache,headache,chills,fatigue,runny_nose
Influenza,cough,fever,sore_throat,body_ache,headache,chills,fatigue,runny_nose
Influenza,sore_throat,fever,cough,body_ache,headache,chills,fatigue,runny_nose
Influenza,body_ache,fever,cough,sore_throat,headache,chills,fatigue,runny_nose
Influenza,headache,fever,cough,sore_throat,body_ache,chills,fatigue,runny_nose
Influenza,chills,fever,cough,sore_throat,body_ache,headache,fatigue,runny_nose
Influenza,fatigue,fever,cough,sore_throat,body_ache,headache,chills,runny_nose
Influenza,runny_nose,fever,cough,sore_throat,body_ache,headache,chills,fatigue
Influenza,fever,body_ache,cough,sore_throat,headache,chills,fatigue,runny_nose
Influenza,fever,chills,cough,sore_throat,body_ache,headache,fatigue,runny_nose
Pneumonia,fever,cough,chest_pain,shortness_of_breath,fatigue,chills,confusion,sweating
Pneumonia,cough,fever,chest_pain,shortness_of_breath,fatigue,chills,confusion,sweating
Pneumonia,chest_pain,fever,cough,shortness_of_breath,fatigue,chills,confusion,sweating
Pneumonia,shortness_of_breath,fever,cough,chest_pain,fatigue,chills,confusion,sweating
Pneumonia,fatigue,fever,cough,chest_pain,shortness_of_breath,chills,confusion,sweating
Pneumonia,chills,fever,cough,chest_pain,shortness_of_breath,fatigue,confusion,sweating
Pneumonia,confusion,fever,cough,chest_pain,shortness_of_breath,fatigue,chills,sweating
Pneumonia,sweating,fever,cough,chest_pain,shortness_of_breath,fatigue,chills,confusion
Pneumonia,fever,shortness_of_breath,cough,chest_pain,fatigue,chills,confusion,sweating
Pneumonia,fever,confusion,cough,chest_pain,shortness_of_breath,fatigue,chills,sweating
Dengue,high_fever,severe_headache,joint_pain,muscle_pain,rash,fatigue,nausea,bleeding_gums
Dengue,severe_headache,high_fever,joint_pain,muscle_pain,rash,fatigue,nausea,bleeding_gums
Dengue,joint_pain,high_fever,severe_headache,muscle_pain,rash,fatigue,nausea,bleeding_gums
Dengue,muscle_pain,high_fever,severe_headache,joint_pain,rash,fatigue,nausea,bleeding_gums
Dengue,rash,high_fever,severe_headache,joint_pain,muscle_pain,fatigue,nausea,bleeding_gums
